#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
31,Thailand,"4,707,244",,"33,180                                ",,"4,649,509",,"24,555","1,496","67,171",473,"17,270,775","246,450","70,078,203 ",Asia,,"152,1124",,,350,
32,Belgium,"4,636,264",,"33,057                                ",,"4,582,082",+725,"21,125",44,"397,339","2,833","36,111,052","3,094,806","11,668,278 ",Europe,,33530,,,"1,810",
33,Czechia,"4,559,200",+991,"41,888                                ",+2,"4,507,686",+184,"9,626",48,"424,634","3,901","56,621,436","5,273,594","10,736,784 ",Europe,,22560,92,0.2,897,
34,Canada,"4,408,276",,"47,781                                ",,"4,300,534","+2,291","59,961",99,"114,833","1,245","66,343,123","1,728,207","38,388,419 ",North America,,98031,,,"1,562",
35,Switzerland,"4,317,035",,"14,318                                ",,"4,217,675",,"85,042",53,"492,046","1,632","22,932,989","2,613,852","8,773,637 ",Europe,,26130,,,"9,693",
36,Peru,"4,252,383",,"217,414                                ",,"3,966,797","+3,349","68,172",88,"126,243","6,454","36,469,600","1,082,691","33,684,208 ",South America,,81551,,,"2,024",
37,South Africa,"4,041,890",,"102,428                                ",,"3,912,506",,"26,956",192,"66,526","1,686","26,473,049","435,726","60,756,135 ",Africa,,155932,,,444,
38,Philippines,"4,036,277",,"64,641                                ",,"3,953,593",,"18,043",162,"35,875",575,"33,677,726","299,334","112,508,994 ",Asia,,"281,7413",,,160,
39,Romania,"3,296,834",,"67,276                                ",,"3,225,200",+490,"4,358",94,"173,232","3,535","25,759,760","1,353,545","19,031,335 ",Europe,,62831,,,229,
40,Denmark,"3,147,600",,"7,532                                ",,"3,135,137",,"4,931",7,"539,439","1,291","128,806,480","22,074,993","5,834,950 ",Europe,,27750,,,845,
41,Sweden,"2,626,686",,"21,002                                ",,"2,593,233",+467,"12,451",14,"257,040","2,055","19,133,584","1,872,359","10,218,971 ",Europe,,44871,,,"1,218",
42,Iraq,"2,463,724",,"25,364                                ",,"2,437,149",,"1,211",21,"58,431",602,"19,448,292","461,243","42,164,965 ",Asia,,"171,6622",,,29,
43,Serbia,"2,423,385",,"17,387                                ",,"2,395,363",,"10,635",14,"280,062","2,009","11,627,759","1,343,781","8,653,016 ",Europe,,44981,,,"1,229",
44,Singapore,"2,167,897",,"1,703                                ",,"2,092,166",,"74,028",9,"364,748",287,"24,622,510","4,142,731","5,943,546 ",Asia,,"33,4900",,,"12,455",
45,Hungary,"2,166,352",,"48,287                                ",,"2,104,358",,"13,707",7,"225,515","5,027","11,394,556","1,186,160","9,606,259 ",Europe,,41991,,,"1,427",
46,Hong Kong,"2,118,245",,"10,747                                ",,"1,875,481",,"232,017",15,"278,559","1,413","70,602,097","9,284,498","7,604,299 ",Asia,,47080,,,"30,511",
47,Bangladesh,"2,036,585",,"29,433                                ",,"1,985,830",,"21,322","1,331","12,131",175,"15,085,161","89,854","167,885,689 ",Asia,,"825,70411",,,127,
48,New Zealand,"1,945,117",,"3,297                                ",,"1,915,871",,"25,949",,"397,108",673,"7,544,063","1,540,170","4,898,203 ",Australia/Oceania,,"31,4861",,,"5,298",
49,Slovakia,"1,856,083",+130,"20,734                                ",+1,"1,834,065",+121,"1,284",23,"339,930","3,797","7,355,239","1,347,066","5,460,193 ",Europe,,32631,24,0.2,235,
50,Georgia,"1,805,698",,"16,881                                ",,"1,776,548",,"12,269",,"454,980","4,253","16,920,079","4,263,340","3,968,738 ",Asia,,22350,,,"3,091",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,678,827",,"8,131                                ",,"1,665,531",+59,"5,165",11,"334,414","1,620","12,836,506","2,556,972","5,020,199 ",Europe,,36170,,,"1,029",
53,Pakistan,"1,575,226",+40,"30,632                                ",+1,"1,538,689",,"5,905",29,"6,864",133,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4928",0.2,,26,
54,Norway,"1,469,061",,"4,325                                ",,"1,462,400",,"2,336",20,"266,551",785,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,2741",,,424,
55,Finland,"1,405,255",,"7,448                                ",,"1,361,449","+1,154","36,358",21,"252,973","1,341","11,825,322","2,128,786","5,554,960 ",Europe,,47460,,,"6,545",
56,Kazakhstan,"1,396,922",+167,"13,693                                ",,"1,380,356",,"2,873",24,"72,737",713,"11,575,012","602,707","19,205,043 ",Asia,,"141,4032",9,,150,
57,Bulgaria,"1,287,256",,"38,039                                ",,"1,244,731",,"4,486",42,"188,069","5,558","10,820,606","1,580,897","6,844,597 ",Europe,,51801,,,655,
58,Lithuania,"1,276,600",+487,"9,434                                ",,"1,261,845",+263,"5,321",5,"479,617","3,544","10,260,710","3,854,935","2,661,708 ",Europe,,22820,183,,"1,999",
59,Morocco,"1,268,823",,"16,284                                ",,"1,251,256",,"1,283",293,"33,591",431,"12,754,669","337,668","37,772,756 ",Africa,,"302,3203",,,34,
60,Slovenia,"1,258,446",,"6,932                                ",,"1,236,871",,"14,643",19,"605,595","3,336","2,785,139","1,340,276","2,078,034 ",Europe,,23001,,,"7,047",
61,Croatia,"1,253,761",,"17,316                                ",,"1,234,400",,"2,045",10,"308,862","4,266","5,362,362","1,321,011","4,059,286 ",Europe,,32341,,,504,
62,Lebanon,"1,220,560",,"10,737                                ",,"1,087,587",,"122,236",74,"182,586","1,606","4,795,578","717,380","6,684,849 ",Asia,,56231,,,"18,286",
63,Guatemala,"1,155,277",,"19,950                                ",,"1,131,350",,"3,977",5,"62,165","1,074","6,306,434","339,347","18,584,039 ",North America,,169323,,,214,
64,Tunisia,"1,147,072",,"29,268                                ",,N/A,N/A,N/A,44,"95,219","2,430","4,975,826","413,046","12,046,656 ",Africa,,114122,,,648,
65,Costa Rica,"1,146,135",,"9,038                                ",,"860,711",,"276,386",52,"221,161","1,744","4,659,757","899,158","5,182,354 ",North America,,55731,,,"53,332",
66,Cuba,"1,111,392",,"8,530                                ",,"1,102,773",,89,23,"98,304",754,"14,233,813","1,259,000","11,305,652 ",North America,,"101,3251",,,8,
67,Bolivia,"1,111,357",+271,"22,248                                ",+1,"1,077,956",+87,"11,153",220,"92,670","1,855","2,705,422","225,590","11,992,656 ",South America,,115394,23,0.08,930,
68,UAE,"1,044,343",,"2,348                                ",,"1,023,936",,"18,059",,"103,587",233,"197,223,958","19,562,405","10,081,785 ",Asia,,"104,2940",,,"1,791",
69,Ecuador,"1,011,132",,"35,940                                ",,"973,448",,"1,744",759,"55,822","1,984","3,082,403","170,173","18,113,361 ",South America,,185046,,,96,
70,Panama,"1,002,161",,"8,526                                ",,"985,881",,"7,754",16,"225,358","1,917","7,256,244","1,631,730","4,446,964 ",North America,,45221,,,"1,744",
71,Nepal,"1,000,894",+5,"12,019                                ",,"988,719",+24,156,,"33,114",398,"5,978,304","197,790","30,225,582 ",Asia,,"302,5155",0.2,,5,
72,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
73,Uruguay,"993,875",,"7,537                                ",,"985,312",,"1,026",18,"284,288","2,156","6,114,822","1,749,083","3,496,016 ",South America,,44641,,,293,
74,Mongolia,"992,767",,"2,179                                ",,"986,124",,"4,464",192,"293,885",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,"1,321",
75,Latvia,"961,627",,"6,086                                ",,"950,319",,"5,222",3,"520,125","3,292","7,746,372","4,189,862","1,848,837 ",Europe,,23040,,,"2,824",
76,Saudi Arabia,"825,597",,"9,464                                ",,"813,132",,"3,001",48,"23,032",264,"44,813,727","1,250,212","35,844,909 ",Asia,,"433,7881",,,84,
77,Azerbaijan,"824,337",,"9,980                                ",,"814,103",,254,,"80,031",969,"7,373,658","715,875","10,300,205 ",Asia,,"121,0321",,,25,
78,Paraguay,"718,164",,"19,621                                ",,"698,317",,226,7,"98,300","2,686","2,657,506","363,751","7,305,843 ",South America,,103723,,,31,
79,Bahrain,"696,332",,"1,536                                ",,"693,773",,"1,023",3,"390,324",861,"10,572,291","5,926,229","1,783,983 ",Asia,,"31,1610",,,573,
80,Sri Lanka,"671,682",,"16,803                                ",,"654,800",,79,,"31,131",779,"6,486,117","300,619","21,575,842 ",Asia,,"321,2843",,,4,
81,Kuwait,"662,672",,"2,570                                ",,"659,992",,110,,"151,284",587,"8,441,451","1,927,128","4,380,326 ",Asia,,"71,7041",,,25,
82,Dominican Republic,"650,381",,"4,384                                ",,"644,066",,"1,931",4,"58,824",397,"3,738,144","338,099","11,056,370 ",North America,,"172,5223",,,175,
83,Myanmar,"633,245",,"19,488                                ",,"607,760",,"5,997",,"11,466",353,"9,665,887","175,021","55,227,143 ",Asia,,"872,8346",,,109,
84,Palestine,"620,816",,"5,404                                ",,"614,962",,450,17,"116,137","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,84,
85,Cyprus,"614,237",,"1,226                                ",,"601,436",,"11,575",60,"502,079","1,002","9,640,118","7,879,860","1,223,387 ",Asia,,29980,,,"9,461",
86,Estonia,"609,233",,"2,790                                ",,"524,990",,"81,453",3,"460,873","2,111","3,606,878","2,728,535","1,321,910 ",Europe,,24740,,,"61,618",
87,Moldova,"595,073",,"11,918                                ",,"504,142",,"79,013",49,"148,280","2,970","3,216,305","801,437","4,013,171 ",Europe,,73371,,,"19,688",
88,Venezuela,"547,567",,"5,828                                ",,"540,675",,"1,064",36,"18,709",199,"3,359,014","114,771","29,266,991 ",South America,,"535,0229",,,36,
89,Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,460,
90,Libya,"507,084",,"6,437                                ",,"500,604",,43,,"72,021",914,"2,483,318","352,707","7,040,745 ",Africa,,"141,0943",,,6,
